Front	Back	Group	Chapter	Tags
gradually / as one goes	gaandeweg	Connectors and framing	Hoofdstuk 6	connectors_and_framing hoofdstuk_6
after that / afterwards	daarna	Connectors and framing	Hoofdstuk 1	connectors_and_framing hoofdstuk_1
thanks to	dankzij	Connectors and framing	Hoofdstuk 4	connectors_and_framing hoofdstuk_4
by the way / moreover / furthermore	overigens	Connectors and framing	Hoofdstuk 3	connectors_and_framing hoofdstuk_3
at all times / always	allen tijde, te	Connectors and framing	Hoofdstuk 5	connectors_and_framing hoofdstuk_5
especially / in particular	name, met	Connectors and framing	Hoofdstuk 3	connectors_and_framing hoofdstuk_3
meanwhile / in the meantime	ondertussen	Connectors and framing	Hoofdstuk 1	connectors_and_framing hoofdstuk_1
hence / that's why / from there	vandaar	Connectors and framing	Hoofdstuk 4	connectors_and_framing hoofdstuk_4
since / because	aangezien	Connectors and framing	Hoofdstuk 1	connectors_and_framing hoofdstuk_1
provided that / on condition that	mits	Connectors and framing	Hoofdstuk 1	connectors_and_framing hoofdstuk_1
although / even though	ofschoon	Connectors and framing	Hoofdstuk 1	connectors_and_framing hoofdstuk_1
therefore / that's why	daarom	Connectors and framing	Hoofdstuk 1	connectors_and_framing hoofdstuk_1
as long as	zolang	Connectors and framing	Hoofdstuk 1	connectors_and_framing hoofdstuk_1
for the sake of / because of	omwille van	Connectors and framing	Hoofdstuk 6	connectors_and_framing hoofdstuk_6
unless	tenzij	Connectors and framing	Hoofdstuk 1	connectors_and_framing hoofdstuk_1
so that / in order that	opdat	Connectors and framing	Hoofdstuk 1	connectors_and_framing hoofdstuk_1
if / in case	indien	Connectors and framing	Hoofdstuk 1	connectors_and_framing hoofdstuk_1
because of that / therefore	daardoor	Connectors and framing	Hoofdstuk 1	connectors_and_framing hoofdstuk_1
since	sinds	Connectors and framing	Hoofdstuk 1	connectors_and_framing hoofdstuk_1
hesitation	aarzeling, de	Mind, emotion, and reaction	Hoofdstuk 1	mind_emotion_and_reaction hoofdstuk_1
reasonable / fairly	redelijk	Mind, emotion, and reaction	Hoofdstuk 1	mind_emotion_and_reaction hoofdstuk_1
motive / reason	beweegreden, de	Mind, emotion, and reaction	Hoofdstuk 5	mind_emotion_and_reaction hoofdstuk_5
reason / intelligence / sense	verstand, het	Mind, emotion, and reaction	Hoofdstuk 2	mind_emotion_and_reaction hoofdstuk_2
annoyance / irritation	ergernis, de	Mind, emotion, and reaction	Hoofdstuk 2	mind_emotion_and_reaction hoofdstuk_2
conviction / belief	overtuiging, de	Mind, emotion, and reaction	Hoofdstuk 3	mind_emotion_and_reaction hoofdstuk_3
care / concern / worry	zorg, de	Mind, emotion, and reaction	Hoofdstuk 6	mind_emotion_and_reaction hoofdstuk_6
fierce / intense	fel	Mind, emotion, and reaction	Hoofdstuk 2	mind_emotion_and_reaction hoofdstuk_2
to talk nonsense / to ramble	leuteren	Mind, emotion, and reaction	Hoofdstuk 2	mind_emotion_and_reaction hoofdstuk_2
sensitive	gevoelig	Mind, emotion, and reaction	Hoofdstuk 1	mind_emotion_and_reaction hoofdstuk_1
speechless / dumbfounded	verstomd	Mind, emotion, and reaction	Hoofdstuk 5	mind_emotion_and_reaction hoofdstuk_5
confusing	verwarrend	Mind, emotion, and reaction	Hoofdstuk 2	mind_emotion_and_reaction hoofdstuk_2
hope	hoop	Mind, emotion, and reaction	Hoofdstuk 3	mind_emotion_and_reaction hoofdstuk_3
to surprise	verrassen	Mind, emotion, and reaction	Hoofdstuk 1	mind_emotion_and_reaction hoofdstuk_1
to hesitate	aarzelen	Mind, emotion, and reaction	Hoofdstuk 1	mind_emotion_and_reaction hoofdstuk_1
to cause concern / to be worrying	zorgen baren	Mind, emotion, and reaction	Hoofdstuk 6	mind_emotion_and_reaction hoofdstuk_6
mind / spirit	geest, de	Mind, emotion, and reaction	Hoofdstuk 1	mind_emotion_and_reaction hoofdstuk_1
emotion / being moved	ontroering, de	Mind, emotion, and reaction	Hoofdstuk 3	mind_emotion_and_reaction hoofdstuk_3
confusion	verwarring, de	Mind, emotion, and reaction	Hoofdstuk 2	mind_emotion_and_reaction hoofdstuk_2
tense / nervous	gespannen	Mind, emotion, and reaction	Hoofdstuk 1	mind_emotion_and_reaction hoofdstuk_1
concerned / affected / moved	begaan	Mind, emotion, and reaction	Hoofdstuk 5	mind_emotion_and_reaction hoofdstuk_5
surprise	verrassing, de	Mind, emotion, and reaction	Hoofdstuk 1	mind_emotion_and_reaction hoofdstuk_1
to confuse	verwarren	Mind, emotion, and reaction	Hoofdstuk 2	mind_emotion_and_reaction hoofdstuk_2
to be addicted to	verslaafd zijn aan	Mind, emotion, and reaction	Hoofdstuk 2	mind_emotion_and_reaction hoofdstuk_2
to convince / to persuade	overtuigen	Communication and ideas	Hoofdstuk 3	communication_and_ideas hoofdstuk_3
to interpret / to understand	opvatten	Communication and ideas	Hoofdstuk 4	communication_and_ideas hoofdstuk_4
counterargument / reply	weerwoord, het	Communication and ideas	Hoofdstuk 2	communication_and_ideas hoofdstuk_2
suggestion	suggestie, de	Communication and ideas	Hoofdstuk 1	communication_and_ideas hoofdstuk_1
call / appeal	oproep, de	Communication and ideas	Hoofdstuk 5	communication_and_ideas hoofdstuk_5
expression / utterance	uiting, de	Communication and ideas	Hoofdstuk 2	communication_and_ideas hoofdstuk_2
to call upon / to evoke	oproepen	Communication and ideas	Hoofdstuk 5	communication_and_ideas hoofdstuk_5
to emphasize / to stress	benadrukken	Communication and ideas	Hoofdstuk 3	communication_and_ideas hoofdstuk_3
jargon	jargon, het	Communication and ideas	Hoofdstuk 3	communication_and_ideas hoofdstuk_3
