Front	Back	Group	Chapter	Tags
gaandeweg	gradually / as one goes	Connectors and framing	Hoofdstuk 6	connectors_and_framing hoofdstuk_6
daarna	after that / afterwards	Connectors and framing	Hoofdstuk 1	connectors_and_framing hoofdstuk_1
dankzij	thanks to	Connectors and framing	Hoofdstuk 4	connectors_and_framing hoofdstuk_4
overigens	by the way / moreover / furthermore	Connectors and framing	Hoofdstuk 3	connectors_and_framing hoofdstuk_3
allen tijde, te	at all times / always	Connectors and framing	Hoofdstuk 5	connectors_and_framing hoofdstuk_5
name, met	especially / in particular	Connectors and framing	Hoofdstuk 3	connectors_and_framing hoofdstuk_3
ondertussen	meanwhile / in the meantime	Connectors and framing	Hoofdstuk 1	connectors_and_framing hoofdstuk_1
vandaar	hence / that's why / from there	Connectors and framing	Hoofdstuk 4	connectors_and_framing hoofdstuk_4
aangezien	since / because	Connectors and framing	Hoofdstuk 1	connectors_and_framing hoofdstuk_1
mits	provided that / on condition that	Connectors and framing	Hoofdstuk 1	connectors_and_framing hoofdstuk_1
ofschoon	although / even though	Connectors and framing	Hoofdstuk 1	connectors_and_framing hoofdstuk_1
daarom	therefore / that's why	Connectors and framing	Hoofdstuk 1	connectors_and_framing hoofdstuk_1
zolang	as long as	Connectors and framing	Hoofdstuk 1	connectors_and_framing hoofdstuk_1
omwille van	for the sake of / because of	Connectors and framing	Hoofdstuk 6	connectors_and_framing hoofdstuk_6
tenzij	unless	Connectors and framing	Hoofdstuk 1	connectors_and_framing hoofdstuk_1
opdat	so that / in order that	Connectors and framing	Hoofdstuk 1	connectors_and_framing hoofdstuk_1
indien	if / in case	Connectors and framing	Hoofdstuk 1	connectors_and_framing hoofdstuk_1
daardoor	because of that / therefore	Connectors and framing	Hoofdstuk 1	connectors_and_framing hoofdstuk_1
sinds	since	Connectors and framing	Hoofdstuk 1	connectors_and_framing hoofdstuk_1
aarzeling, de	hesitation	Mind, emotion, and reaction	Hoofdstuk 1	mind_emotion_and_reaction hoofdstuk_1
redelijk	reasonable / fairly	Mind, emotion, and reaction	Hoofdstuk 1	mind_emotion_and_reaction hoofdstuk_1
beweegreden, de	motive / reason	Mind, emotion, and reaction	Hoofdstuk 5	mind_emotion_and_reaction hoofdstuk_5
verstand, het	reason / intelligence / sense	Mind, emotion, and reaction	Hoofdstuk 2	mind_emotion_and_reaction hoofdstuk_2
ergernis, de	annoyance / irritation	Mind, emotion, and reaction	Hoofdstuk 2	mind_emotion_and_reaction hoofdstuk_2
overtuiging, de	conviction / belief	Mind, emotion, and reaction	Hoofdstuk 3	mind_emotion_and_reaction hoofdstuk_3
zorg, de	care / concern / worry	Mind, emotion, and reaction	Hoofdstuk 6	mind_emotion_and_reaction hoofdstuk_6
fel	fierce / intense	Mind, emotion, and reaction	Hoofdstuk 2	mind_emotion_and_reaction hoofdstuk_2
leuteren	to talk nonsense / to ramble	Mind, emotion, and reaction	Hoofdstuk 2	mind_emotion_and_reaction hoofdstuk_2
gevoelig	sensitive	Mind, emotion, and reaction	Hoofdstuk 1	mind_emotion_and_reaction hoofdstuk_1
verstomd	speechless / dumbfounded	Mind, emotion, and reaction	Hoofdstuk 5	mind_emotion_and_reaction hoofdstuk_5
verwarrend	confusing	Mind, emotion, and reaction	Hoofdstuk 2	mind_emotion_and_reaction hoofdstuk_2
hoop	hope	Mind, emotion, and reaction	Hoofdstuk 3	mind_emotion_and_reaction hoofdstuk_3
verrassen	to surprise	Mind, emotion, and reaction	Hoofdstuk 1	mind_emotion_and_reaction hoofdstuk_1
aarzelen	to hesitate	Mind, emotion, and reaction	Hoofdstuk 1	mind_emotion_and_reaction hoofdstuk_1
zorgen baren	to cause concern / to be worrying	Mind, emotion, and reaction	Hoofdstuk 6	mind_emotion_and_reaction hoofdstuk_6
geest, de	mind / spirit	Mind, emotion, and reaction	Hoofdstuk 1	mind_emotion_and_reaction hoofdstuk_1
ontroering, de	emotion / being moved	Mind, emotion, and reaction	Hoofdstuk 3	mind_emotion_and_reaction hoofdstuk_3
verwarring, de	confusion	Mind, emotion, and reaction	Hoofdstuk 2	mind_emotion_and_reaction hoofdstuk_2
gespannen	tense / nervous	Mind, emotion, and reaction	Hoofdstuk 1	mind_emotion_and_reaction hoofdstuk_1
begaan	concerned / affected / moved	Mind, emotion, and reaction	Hoofdstuk 5	mind_emotion_and_reaction hoofdstuk_5
verrassing, de	surprise	Mind, emotion, and reaction	Hoofdstuk 1	mind_emotion_and_reaction hoofdstuk_1
verwarren	to confuse	Mind, emotion, and reaction	Hoofdstuk 2	mind_emotion_and_reaction hoofdstuk_2
verslaafd zijn aan	to be addicted to	Mind, emotion, and reaction	Hoofdstuk 2	mind_emotion_and_reaction hoofdstuk_2
overtuigen	to convince / to persuade	Communication and ideas	Hoofdstuk 3	communication_and_ideas hoofdstuk_3
opvatten	to interpret / to understand	Communication and ideas	Hoofdstuk 4	communication_and_ideas hoofdstuk_4
weerwoord, het	counterargument / reply	Communication and ideas	Hoofdstuk 2	communication_and_ideas hoofdstuk_2
suggestie, de	suggestion	Communication and ideas	Hoofdstuk 1	communication_and_ideas hoofdstuk_1
oproep, de	call / appeal	Communication and ideas	Hoofdstuk 5	communication_and_ideas hoofdstuk_5
uiting, de	expression / utterance	Communication and ideas	Hoofdstuk 2	communication_and_ideas hoofdstuk_2
oproepen	to call upon / to evoke	Communication and ideas	Hoofdstuk 5	communication_and_ideas hoofdstuk_5
benadrukken	to emphasize / to stress	Communication and ideas	Hoofdstuk 3	communication_and_ideas hoofdstuk_3
jargon, het	jargon	Communication and ideas	Hoofdstuk 3	communication_and_ideas hoofdstuk_3
bewering, de	claim / assertion	Communication and ideas	Hoofdstuk 1	communication_and_ideas hoofdstuk_1
beweren	to claim / to assert	Communication and ideas	Hoofdstuk 1	communication_and_ideas hoofdstuk_1
opvatting, de	view / opinion / interpretation	Communication and ideas	Hoofdstuk 4	communication_and_ideas hoofdstuk_4
aanspreken	to address / to appeal to	Communication and ideas	Hoofdstuk 4	communication_and_ideas hoofdstuk_4
suggereren	to suggest	Communication and ideas	Hoofdstuk 1	communication_and_ideas hoofdstuk_1
teneur, de	tenor / general tone	Communication and ideas	Hoofdstuk 5	communication_and_ideas hoofdstuk_5
opeisen	to claim / to demand	Communication and ideas	Hoofdstuk 4	communication_and_ideas hoofdstuk_4
